recorded_at,voltage,temperature,source_file
2025-12-14 21:09:58,4.63,4.25,telemetry_20251214_210958.csv
2025-12-14 21:09:59,5.83,-39.26,telemetry_20251214_210959.csv
2025-12-14 21:10:00,8.40,-4.45,telemetry_20251214_211000.csv
2025-12-14 21:10:01,7.56,74.43,telemetry_20251214_211001.csv
2025-12-14 21:10:02,5.85,-48.65,telemetry_20251214_211002.csv
2025-12-14 21:10:03,4.29,61.16,telemetry_20251214_211003.csv
2025-12-14 21:10:04,10.01,11.28,telemetry_20251214_211004.csv
2025-12-14 21:10:05,11.59,55.90,telemetry_20251214_211005.csv
2025-12-14 21:10:06,4.56,21.98,telemetry_20251214_211006.csv
2025-12-14 21:10:07,8.84,72.25,telemetry_20251214_211007.csv
2025-12-14 21:10:08,6.95,50.62,telemetry_20251214_211008.csv
2025-12-14 21:10:09,10.94,20.21,telemetry_20251214_211009.csv
2025-12-14 21:10:10,10.88,73.59,telemetry_20251214_211010.csv
2025-12-14 21:10:11,3.71,11.80,telemetry_20251214_211011.csv
2025-12-14 21:10:12,11.40,-18.02,telemetry_20251214_211012.csv
2025-12-14 21:10:13,11.63,7.24,telemetry_20251214_211013.csv
2025-12-14 21:10:14,3.72,48.55,telemetry_20251214_211014.csv
2025-12-14 21:10:15,10.57,15.89,telemetry_20251214_211015.csv
2025-12-14 21:10:16,11.57,-33.13,telemetry_20251214_211016.csv
2025-12-14 21:10:17,12.30,-43.84,telemetry_20251214_211017.csv
2025-12-14 21:10:18,4.94,-30.42,telemetry_20251214_211018.csv
2025-12-14 21:10:19,9.54,9.64,telemetry_20251214_211019.csv
2025-12-14 21:10:20,10.38,-31.23,telemetry_20251214_211020.csv
2025-12-14 21:10:21,8.13,20.15,telemetry_20251214_211021.csv
2025-12-14 21:10:22,12.57,18.74,telemetry_20251214_211022.csv
2025-12-14 21:10:23,9.94,23.99,telemetry_20251214_211023.csv
2025-12-14 21:10:24,4.32,15.99,telemetry_20251214_211024.csv
2025-12-14 21:10:25,6.16,-8.49,telemetry_20251214_211025.csv
2025-12-14 21:10:26,5.18,-3.85,telemetry_20251214_211026.csv
2025-12-14 21:10:27,8.04,51.52,telemetry_20251214_211027.csv
2025-12-14 21:10:28,7.37,-49.58,telemetry_20251214_211028.csv
2025-12-14 21:10:29,9.80,11.87,telemetry_20251214_211029.csv
2025-12-14 21:10:30,3.36,-19.35,telemetry_20251214_211030.csv
2025-12-14 21:10:31,6.06,66.87,telemetry_20251214_211031.csv
2025-12-14 21:10:32,5.80,10.13,telemetry_20251214_211032.csv
2025-12-14 21:10:33,12.49,-0.03,telemetry_20251214_211033.csv
2025-12-14 21:10:34,10.93,-14.87,telemetry_20251214_211034.csv
2025-12-14 21:10:35,9.41,41.63,telemetry_20251214_211035.csv
2025-12-14 21:10:36,7.91,28.97,telemetry_20251214_211036.csv
2025-12-14 21:10:37,5.56,27.78,telemetry_20251214_211037.csv
2025-12-14 21:10:38,5.49,22.22,telemetry_20251214_211038.csv
2025-12-14 21:10:39,10.67,71.71,telemetry_20251214_211039.csv
2025-12-14 21:10:40,6.60,73.58,telemetry_20251214_211040.csv
2025-12-14 21:10:41,12.54,-8.11,telemetry_20251214_211041.csv
2025-12-14 21:10:42,7.76,23.62,telemetry_20251214_211042.csv
2025-12-14 21:10:43,4.74,-48.36,telemetry_20251214_211043.csv
2025-12-14 21:10:44,5.56,-48.11,telemetry_20251214_211044.csv
2025-12-14 21:10:45,5.93,15.38,telemetry_20251214_211045.csv
2025-12-14 21:10:46,8.58,16.61,telemetry_20251214_211046.csv
2025-12-14 21:10:47,6.21,-21.22,telemetry_20251214_211047.csv
2025-12-14 21:10:48,7.88,36.15,telemetry_20251214_211048.csv
2025-12-14 21:10:49,9.67,49.43,telemetry_20251214_211049.csv
2025-12-14 21:10:50,7.25,26.64,telemetry_20251214_211050.csv
2025-12-14 21:10:51,9.31,72.24,telemetry_20251214_211051.csv
2025-12-14 21:10:52,10.23,-20.68,telemetry_20251214_211052.csv
2025-12-14 21:10:53,8.43,-36.98,telemetry_20251214_211053.csv
2025-12-14 21:10:54,4.50,32.08,telemetry_20251214_211054.csv
2025-12-14 21:10:55,7.52,23.42,telemetry_20251214_211055.csv
2025-12-14 21:10:56,10.69,62.76,telemetry_20251214_211056.csv
2025-12-14 21:10:57,7.53,52.77,telemetry_20251214_211057.csv
2025-12-14 21:10:58,10.67,-2.77,telemetry_20251214_211058.csv
2025-12-14 21:10:59,6.79,50.77,telemetry_20251214_211059.csv
2025-12-14 21:11:00,3.39,-15.70,telemetry_20251214_211100.csv
2025-12-14 21:11:01,3.57,-8.49,telemetry_20251214_211101.csv
